Name,Grade,Cut-Off,Branches-Allowed,Details
MentorGraphics (Internship),Dream,0,COE; ECE; ICE; IT,1
Rancore,A+,60,COE; ECE,1
GSK,A++,0,MPA,123
BPCL_ICE_GEN_OBC,A++,60,ICE,0Further shortlisting possible.
BPCL_ICE_SC/ST/PWD,A++,50,ICE,0Further shortlisting possible.
BPCL_COE_GEN_OBC,Dream,60,COE,0Students having a package of 5.9 LPA and below can apply.
BPCL_COE_SC/ST/PWD,Dream,50,COE,0Students having a package of 5.9 LPA and below can apply.
VinSol,A++,58,COE; ECE; ICE; IT,2Further Shortlisting Possible
Towers Watson,A++,0,COE; IT,123resume based shortlisting
FMC,A++,0,MPA,123further shortlisting possible
Lunexa,A++,55,COE; ECE; ICE; IT; M.Tech(IS),2Further Shortlisting Possible
Axtria,A++,60,COE; ECE; IT,1Resume Based Shortlisting Possible
McKC,A+,0,COE; ECE; ICE; IT; MPA; BT; IS; PC; SP,10
,,0,,
Protiviti,A,0,COE; ECE; IT,99999
Libsys,A+,0,COE; IT; ECE; ICE,9999Further shortlisting possible.
Technip,A+,70,ICE; MPA; M.Tech(PC),0(also fill up google form)
DSYN_UX,A++,55,COE; ECE; ICE; MPA; IT; BT,2Further shortlisting possible.
DSYN_SD,A++,55,COE; ECE; ICE; MPA; IT; BT,2Further shortlisting possible.
Healthkart,A++,0,COE; IT,99999
Digital Green Trust,A++,0,COE; ECE; ICE; IT; M.Tech(IS),9894Further Shortlisting possible
Amazon Off-campus,Dream,0,COE; ECE; ICE; MPA; IT; BT,9999
Triune Energy,A+,60,ICE,2
PT India_QA,A++,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123Further Shortlisting Possible
IOCL (General and OBC),Dream,65,ECE; ICE,0(only students with package below 6 LPA can apply)- further shortlisting possible
IOCL (SC_ST_PH),Dream,40,ECE; ICE,0(only students with package below 6 LPA can apply)- further shortlisting possible
Nissan Automobiles,Dream,0,ECE; ICE; MPA,123Further Shortlisting Possible
RECRUIT Group,Dream,0,COE; IT,123Further Shortlisting Possible
Teach for India,Dream,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),0
KPMG_ITA,A+,50,COE; ECE; IT,123Further Shortlisting Possible
